date  value		value
2015/01/01  0		 0
2015/01/02  43		43
2015/01/03  15		15
2015/01/04 0		 0
2015/01/05 0		 0
2015/01/06 18		18
2015/01/07 12		12
2015/01/08 176		176
2015/01/09 85		85
2015/01/10 34		34
2015/01/11 14		14
2015/01/12 19		19
2015/01/13 140		140
2015/01/14 19		19
2015/01/15 80		80
2015/01/16 17		17
2015/01/17 0		 0
2015/01/18 47		47
2015/01/19 0		 0
2015/01/20 0		 0
2015/01/21 0		 0
2015/01/22 0		 0
2015/01/23 0		 0
2015/01/24 86		86
2015/01/25 3		 3
2015/01/26 31		31
2015/01/27 1		 1
2015/01/28 82		82
2015/01/29 150		150
2015/01/30 83		83
2015/01/31 2		 2
