by,Belarus,9.495.826
bg,Bulgaria,7.149.787
cz,Czech Republic,10.543.186
hu,Hungary,9.855.023
pl,Poland,38.611.794
md,Republic of Moldova,4.068.897
ro,Romania,19.511.324
sk,Slovakia,5.426.258
ua,Ukraine,44.823.765
dk,Denmark,5.669.081
ee,Estonia,1.312.558
fi,Finland,5.503.457
is,Iceland,329.425
ie,Ireland,4.688.465
lv,Latvia,1.970.503
lt,Lithuania,2.878.405
no,Norway,5.210.967
se,Sweden,9.779.426
gb,United Kingdom,6.471.581
al,Albania,2.896.679
ba,Bosnia and Herzegovina,3.810.416
hr,Croatia,4.240.317
gr,Greece,10.954.617
it,Italy,59.797.685
pt,Portugal,10.349.803
rs,Serbia,8.850.975
si,Slovenia,2.067.526
es,Spain,46.121.699
mk,TFYR Macedonia,2.078.453
at,Austria,8.544.586
be,Belgium,11.299.192
fr,France,64.395.345
de,Germany,80.688.545
nl,Netherlands,16.924.929
ch,Switzerland,8.298.663
