date,gem,min,max
2015/05/01,87,31,133
2015/05/02,97,4,158
2015/05/03,130,69,170
2015/05/04,154,117,194
2015/05/05,154,86,222
2015/05/06,122,85,155
2015/05/07,118,75,162
2015/05/08,142,78,194
2015/05/09,133,91,161
2015/05/10,128,42,191
2015/05/11,176,91,256
2015/05/12,146,112,175
2015/05/13,127,76,181
2015/05/14,112,59,167
2015/05/15,94,39,144
2015/05/16,105,41,149
2015/05/17,119,68,162
2015/05/18,111,77,140
2015/05/19,100,74,137
2015/05/20,105,67,147
2015/05/21,119,25,174
2015/05/22,149,86,199
2015/05/23,124,60,157
2015/05/24,126,25,199
2015/05/25,124,97,153
2015/05/26,118,75,158
2015/05/27,135,54,189
2015/05/28,129,57,165
2015/05/29,111,56,158
2015/05/30,112,66,154
2015/05/31,126,79,165
2015/06/01,127,61,161
2015/06/02,148,111,177
2015/06/03,138,63,177
2015/06/04,156,46,220
2015/06/05,214,95,318
2015/06/06,156,85,189
2015/06/07,139,71,189
2015/06/08,125,79,172
2015/06/09,116,75,150
2015/06/10,154,89,208
2015/06/11,179,93,240
2015/06/12,216,128,274
2015/06/13,175,141,213
2015/06/14,153,123,195
2015/06/15,133,76,175
2015/06/16,114,45,177
2015/06/17,160,53,227
2015/06/18,143,115,166
2015/06/19,127,103,153
2015/06/20,130,97,163
2015/06/21,144,121,185
2015/06/22,127,76,153
2015/06/23,126,94,151
2015/06/24,158,117,215
2015/06/25,182,114,240
2015/06/26,205,134,250
2015/06/27,176,103,218
2015/06/28,173,88,232
2015/06/29,180,112,242
2015/06/30,206,97,273
2015/07/01,260,158,331
2015/07/02,254,190,331
2015/07/03,241,169,291
2015/07/04,256,179,327
2015/07/05,202,157,282
2015/07/06,187,139,238
2015/07/07,198,125,258
2015/07/08,159,127,196
2015/07/09,135,72,176
2015/07/10,165,68,226
2015/07/11,204,139,287
2015/07/12,177,156,204
2015/07/13,174,163,196
2015/07/14,179,140,213
2015/07/15,179,144,211
2015/07/16,196,120,251
2015/07/17,217,175,256
2015/07/18,182,145,221
2015/07/19,162,119,205
2015/07/20,178,96,214
2015/07/21,210,175,254
2015/07/22,195,163,231
2015/07/23,178,136,217
2015/07/24,184,134,233
2015/07/25,149,112,183
2015/07/26,148,86,209
2015/07/27,166,142,197
2015/07/28,152,125,189
2015/07/29,141,109,176
2015/07/30,138,76,181
2015/07/31,133,51,194
2015/08/01,151,61,220
2015/08/02,177,77,242
2015/08/03,215,124,300
2015/08/04,180,138,215
2015/08/05,189,103,250
2015/08/06,205,133,284
2015/08/07,206,126,270
2015/08/08,187,130,230
2015/08/09,186,103,243
2015/08/10,198,147,252
2015/08/11,200,137,254
2015/08/12,195,163,230
2015/08/13,217,146,284
2015/08/14,209,169,254
2015/08/15,184,158,221
2015/08/16,150,129,166
2015/08/17,143,129,152
2015/08/18,146,134,168
2015/08/19,165,116,225
2015/08/20,179,104,249
2015/08/21,197,137,253
2015/08/22,207,141,265
2015/08/23,197,149,259
2015/08/24,179,133,231
2015/08/25,167,140,199
2015/08/26,202,165,252
2015/08/27,157,135,185
2015/08/28,154,98,209
2015/08/29,170,81,236
2015/08/30,200,145,253
2015/08/31,209,175,265
2015/09/01,161,120,195
2015/09/02,132,79,188
2015/09/03,122,66,171
2015/09/04,135,116,166
2015/09/05,132,93,169
2015/09/06,131,91,170
2015/09/07,142,123,169
2015/09/08,139,82,169
2015/09/09,131,71,185
2015/09/10,143,91,196
2015/09/11,143,93,201
2015/09/12,157,113,202
2015/09/13,166,125,194
2015/09/14,145,113,198
2015/09/15,125,98,159
2015/09/16,154,110,192
2015/09/17,144,125,164
2015/09/18,139,99,184
2015/09/19,134,85,175
2015/09/20,135,71,181
2015/09/21,146,110,186
2015/09/22,131,91,174
2015/09/23,132,104,173
2015/09/24,126,108,157
2015/09/25,116,52,168
2015/09/26,104,34,168
2015/09/27,110,46,175
2015/09/28,105,44,160
2015/09/29,117,58,174
2015/09/30,123,81,175
2015/10/01,106,49,169
2015/10/02,103,33,183
2015/10/03,103,44,188
2015/10/04,103,46,179
2015/10/05,131,57,169
2015/10/06,153,131,176
2015/10/07,149,137,176
2015/10/08,124,58,159
2015/10/09,102,40,163
2015/10/10,109,59,143
2015/10/11,65,23,115
2015/10/12,48,9,102
2015/10/13,38,12,59
2015/10/14,51,20,80
2015/10/15,63,28,80
2015/10/16,77,67,84
2015/10/17,81,73,90
2015/10/18,84,37,109
2015/10/19,105,52,125
2015/10/20,95,51,126
2015/10/21,97,47,125
2015/10/22,119,72,148
2015/10/23,114,68,141
2015/10/24,118,101,138
